OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,Time
372,2303,1629,20,682,10,345,11,2023-02-16 02:31:19
328,2108,1491,17,821,16,325,13,2023-02-16 02:32:22
380,2419,1711,33,642,10,357,14,2023-02-16 02:36:17
322,2092,1480,26,731,9,328,15,2023-02-16 02:37:21
334,2149,1520,31,927,6,341,11,2023-02-16 02:40:19
355,2277,1611,33,672,12,330,17,2023-02-16 02:40:52
372,2269,1605,18,757,14,346,14,2023-02-16 02:41:26
363,2400,1698,49,869,13,346,7,2023-02-16 02:42:55
385,2365,1673,24,638,7,352,19,2023-02-16 02:43:18
340,2221,1571,66,1019,7,350,11,2023-02-16 02:44:48
334,2154,1524,34,981,12,332,9,2023-02-16 02:45:17
424,2458,1739,41,687,6,366,24,2023-02-16 02:49:20
335,2178,1541,38,687,16,334,18,2023-02-16 02:50:14
324,2091,1479,11,562,15,320,15,2023-02-16 02:51:24
374,2375,1680,34,719,11,350,10,2023-02-16 02:51:46
338,2181,1543,69,800,11,346,11,2023-02-16 02:52:22
348,2210,1563,16,789,12,327,13,2023-02-16 02:55:21
359,2252,1593,22,756,13,334,22,2023-02-16 02:55:50
372,2344,1658,29,598,10,335,15,2023-02-16 02:56:48
355,2303,1629,16,728,10,324,14,2023-02-16 03:00:23
346,2229,1577,24,546,13,324,24,2023-02-16 03:00:50
336,2177,1540,36,700,12,325,18,2023-02-16 03:03:22
356,2273,1608,16,813,11,331,13,2023-02-16 03:03:47
341,2258,1597,71,717,14,334,14,2023-02-16 03:06:14
348,2307,1632,22,711,13,325,14,2023-02-16 03:06:50
350,2351,1663,23,613,10,334,8,2023-02-16 03:07:12
347,2224,1573,16,651,11,338,11,2023-02-16 03:08:13
343,2207,1561,16,773,10,329,11,2023-02-16 03:13:17
399,2477,1752,35,826,7,346,14,2023-02-16 03:16:21
340,2173,1537,33,817,10,341,10,2023-02-16 03:18:23
368,2304,1630,38,599,8,345,7,2023-02-16 03:21:48
367,2270,1606,43,743,8,344,14,2023-02-16 03:22:16
353,2239,1584,41,775,14,334,9,2023-02-16 03:28:13
371,2365,1673,43,886,6,360,24,2023-02-16 03:28:43
349,2238,1583,4,683,15,328,12,2023-02-16 03:29:42
346,2232,1579,20,639,9,325,14,2023-02-16 03:31:18
339,2229,1577,8,735,13,332,10,2023-02-16 03:32:52
349,2296,1624,29,670,11,337,13,2023-02-16 03:33:50
