0,1,2,3,4,5,6,7
"{'bn': '74FE48FFFF6D8845', 'bt': 1675692670}","{'n': 'uplink', 'u': 'count', 'v': 6220}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -66}","{'n': 'snr', 'u': 'dB', 'v': 9}","{'n': 'payload_raw', 'vs': '814c15500807000100216d000060091b00010000760ae163a6'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675692766}","{'n': 'uplink', 'u': 'count', 'v': 6229}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -69}","{'n': 'snr', 'u': 'dB', 'v': 10.5}","{'n': 'payload_raw', 'vs': '815515500807000100216d000060091b00010000d10ae1633b'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675692802}","{'n': 'uplink', 'u': 'count', 'v': 6233}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -67}","{'n': 'snr', 'u': 'dB', 'v': 8.8}","{'n': 'payload_raw', 'vs': '815915500807000100216d000060091b00010000fa0ae1637f'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675692821}","{'n': 'uplink', 'u': 'count', 'v': 6235}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -69}","{'n': 'snr', 'u': 'dB', 'v': 10.2}","{'n': 'payload_raw', 'vs': '815b15500807000100216d000060091b000100000d0be16375'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675692849}","{'n': 'uplink', 'u': 'count', 'v': 6238}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -67}","{'n': 'snr', 'u': 'dB', 'v': 11}","{'n': 'payload_raw', 'vs': '815e15500807000100216d000060091b00010000290be163e3'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675692873}","{'n': 'uplink', 'u': 'count', 'v': 6240}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 7.5}","{'n': 'payload_raw', 'vs': '816058500807000100216d00005441e2ff0000dc0190011b014e00d900c7ff32001d0000000e04d8020302e4fffd01060048003f000000a502f3016101f9ff4e013a0024002900031c0800003b0be16360091b000100003c0be16339'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675692952}","{'n': 'uplink', 'u': 'count', 'v': 6248}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -63}","{'n': 'snr', 'u': 'dB', 'v': 9.8}","{'n': 'payload_raw', 'vs': '816815500807000100606d000060091b000100008b0be16306'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675692982}","{'n': 'uplink', 'u': 'count', 'v': 6251}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 11}","{'n': 'payload_raw', 'vs': '816b15500807000100606d000060091b00010000a90be163e4'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693041}","{'n': 'uplink', 'u': 'count', 'v': 6257}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -64}","{'n': 'snr', 'u': 'dB', 'v': 7.5}","{'n': 'payload_raw', 'vs': '817115500807000100606d000060091b00010000e40be16381'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693098}","{'n': 'uplink', 'u': 'count', 'v': 6263}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 11}","{'n': 'payload_raw', 'vs': '817715500807000100606d000060091b00010000220ce16349'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693127}","{'n': 'uplink', 'u': 'count', 'v': 6266}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 11}","{'n': 'payload_raw', 'vs': '817a15500807000100606d000060091b000100003f0ce163d0'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693136}","{'n': 'uplink', 'u': 'count', 'v': 6267}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -63}","{'n': 'snr', 'u': 'dB', 'v': 9.8}","{'n': 'payload_raw', 'vs': '817b15500807000100606d000060091b00010000480ce16380'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693151}","{'n': 'uplink', 'u': 'count', 'v': 6268}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -63}","{'n': 'snr', 'u': 'dB', 'v': 9.5}","{'n': 'payload_raw', 'vs': '817c58500807000100606d00005441e2ff0000fe01a8012c0117002b01d9ff32001f0000004b04fc021d02caffd8010e004400420000009602f0015f013b008d014500240027000325080000490ce16360091b00010000520ce1631f'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693160}","{'n': 'uplink', 'u': 'count', 'v': 6269}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 9.2}","{'n': 'payload_raw', 'vs': '817d15500807000100606d000060091b000100005c0ce163bf'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693195}","{'n': 'uplink', 'u': 'count', 'v': 6273}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -66}","{'n': 'snr', 'u': 'dB', 'v': 10.5}","{'n': 'payload_raw', 'vs': '818115500807000100606d000060091b00010000830ce163a0'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693215}","{'n': 'uplink', 'u': 'count', 'v': 6275}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -64}","{'n': 'snr', 'u': 'dB', 'v': 9.5}","{'n': 'payload_raw', 'vs': '818315500807000100606d000060091b00010000970ce1639f'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693290}","{'n': 'uplink', 'u': 'count', 'v': 6282}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -64}","{'n': 'snr', 'u': 'dB', 'v': 9.5}","{'n': 'payload_raw', 'vs': '818a15500807000100606d000060091b00010000dd0ce16398'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693452}","{'n': 'uplink', 'u': 'count', 'v': 6299}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -62}","{'n': 'snr', 'u': 'dB', 'v': 7.5}","{'n': 'payload_raw', 'vs': '819b155008070001009e6d000060091b00010000840de1638c'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693461}","{'n': 'uplink', 'u': 'count', 'v': 6300}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -63}","{'n': 'snr', 'u': 'dB', 'v': 9}","{'n': 'payload_raw', 'vs': '819c155008070001009e6d000060091b000100008d0de1632a'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693480}","{'n': 'uplink', 'u': 'count', 'v': 6302}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -64}","{'n': 'snr', 'u': 'dB', 'v': 10}","{'n': 'payload_raw', 'vs': '819e155008070001009e6d000060091b00010000a00de1631a'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693504}","{'n': 'uplink', 'u': 'count', 'v': 6304}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -66}","{'n': 'snr', 'u': 'dB', 'v': 11.5}","{'n': 'payload_raw', 'vs': '81a0585008070001009e6d00005441e2ff00000600050004000600e4020c00000001000000040005000400fbff93000d000000010000000600050004000e00b302f7ff000001000331080000b10de16360091b00010000b30de16393'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693534}","{'n': 'uplink', 'u': 'count', 'v': 6307}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 9.2}","{'n': 'payload_raw', 'vs': '81a3585008070001009e6d00005441e2ff0000070005000400f7ff4502000000000200000005000500040001004700050000000100000007000500040001005f020000000002000332080000cf0de16360091b00010000d10de163ce'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693590}","{'n': 'uplink', 'u': 'count', 'v': 6313}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 9.5}","{'n': 'payload_raw', 'vs': '81a9585008070001009e6d00005441e2ff0000090005000400fbff3f020500000003000000170005000400feff4100040000000900000007000500040000008b02ffff0000010003340800000b0ee16360091b000100000e0ee1636e'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693615}","{'n': 'uplink', 'u': 'count', 'v': 6315}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -64}","{'n': 'snr', 'u': 'dB', 'v': 8.8}","{'n': 'payload_raw', 'vs': '81ab155008070001009e6d000060091b00010000220ee163ba'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693620}","{'n': 'uplink', 'u': 'count', 'v': 6316}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 8}","{'n': 'payload_raw', 'vs': '81ac585008070001009e6d00005441e2ff0000170007000500f9ff97020b000000060000001000050004000000170000000000050000000e000500040010008102f9ff000003000335080000290ee16360091b000100002c0ee16390'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693681}","{'n': 'uplink', 'u': 'count', 'v': 6322}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -64}","{'n': 'snr', 'u': 'dB', 'v': 8.8}","{'n': 'payload_raw', 'vs': '81b2585008070001009e6d00005441e2ff00000600050004000a0061020200000002000000060005000400ecffd6010200000002000000070005000400f9ff7e02fdff000002000337080000650ee16360091b00010000690ee163f1'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693754}","{'n': 'uplink', 'u': 'count', 'v': 6329}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -64}","{'n': 'snr', 'u': 'dB', 'v': 10.5}","{'n': 'payload_raw', 'vs': '81b9155008070001009e6d000060091b00010000ad0ee16359'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693774}","{'n': 'uplink', 'u': 'count', 'v': 6331}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 9.2}","{'n': 'payload_raw', 'vs': '81bb585008070001009e6d00005441e2ff00000500050004000d00bf0208000000010000001c0005000400ffff7e000a0000000b000000050005000400faff4702f9ff00000100033a080000bf0ee16360091b00010000c10ee1637b'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693803}","{'n': 'uplink', 'u': 'count', 'v': 6334}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 11}","{'n': 'payload_raw', 'vs': '81be585008070001009e6d00005441e2ff00000a00050004000900650201000000030000000b0005000400ffffa5000200000004000000070005000400feffcb02fdff00000100033b080000dd0ee16360091b00010000de0ee16392'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693828}","{'n': 'uplink', 'u': 'count', 'v': 6337}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 10.5}","{'n': 'payload_raw', 'vs': '81c1585008070001009e6d00005441e2ff00000a00050004000300520201000000030000000f00050004000c00bc00000000000500000007000500040005005d02fdff00000100033c080000fb0ee16360091b00010000fc0ee163f2'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693853}","{'n': 'uplink', 'u': 'count', 'v': 6339}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -66}","{'n': 'snr', 'u': 'dB', 'v': 10.2}","{'n': 'payload_raw', 'vs': '81c3155008070001009e6d000060091b00010000110fe16342'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693956}","{'n': 'uplink', 'u': 'count', 'v': 6350}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -64}","{'n': 'snr', 'u': 'dB', 'v': 9}","{'n': 'payload_raw', 'vs': '81ce58500807000100dd6d00005441e2ff0000070005000400090098020800000002000000070005000400feff2e0005000000020000000600050004000a00c402f9ff000002000340080000730fe16360091b000100007c0fe163e8'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675693983}","{'n': 'uplink', 'u': 'count', 'v': 6352}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -62}","{'n': 'snr', 'u': 'dB', 'v': 7}","{'n': 'payload_raw', 'vs': '81d058500807000100dd6d00005441e2ff00000500050004000100ca0209000000010000000d0005000400fdff1700030000000400000006000500040000006d02fbff000001000341080000910fe16360091b00010000920fe163ed'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675694013}","{'n': 'uplink', 'u': 'count', 'v': 6355}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -64}","{'n': 'snr', 'u': 'dB', 'v': 8.8}","{'n': 'payload_raw', 'vs': '81d358500807000100dd6d00005441e2ff0000070005000400faff6b020200000002000000070005000400fbff1501060000000200000005000500040000009c020400000001000342080000af0fe16360091b00010000b00fe1632b'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675694060}","{'n': 'uplink', 'u': 'count', 'v': 6360}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -62}","{'n': 'snr', 'u': 'dB', 'v': 9.2}","{'n': 'payload_raw', 'vs': '81d815500807000100dd6d000060091b00010000e40fe16354'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675694113}","{'n': 'uplink', 'u': 'count', 'v': 6365}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -63}","{'n': 'snr', 'u': 'dB', 'v': 9.5}","{'n': 'payload_raw', 'vs': '81dd15500807000100dd6d000060091b000100001410e163b2'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675694159}","{'n': 'uplink', 'u': 'count', 'v': 6370}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 11}","{'n': 'payload_raw', 'vs': '81e258500807000100dd6d00005441e2ff0000060005000400060089020200000001000000110005000400fdff2e00ffff0000060000000600050004000b009e0200000000020003470800004510e16360091b000100004710e1635a'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675694208}","{'n': 'uplink', 'u': 'count', 'v': 6375}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 10.2}","{'n': 'payload_raw', 'vs': '81e715500807000100dd6d000060091b000100007810e1630f'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675694224}","{'n': 'uplink', 'u': 'count', 'v': 6376}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -62}","{'n': 'snr', 'u': 'dB', 'v': 9}","{'n': 'payload_raw', 'vs': '81e858500807000100dd6d00005441e2ff0000060005000400f8ff910201000000020000000a00050004000000fc00ffff0000030000000700050004000c00fc02fdff0000020003490800008110e16360091b000100008310e163e9'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675694435}","{'n': 'uplink', 'u': 'count', 'v': 6397}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 9.5}","{'n': 'payload_raw', 'vs': '81fd58500807000100dd6d00005441e2ff0000090005000400ffff8b020a0000000300000015000500040003002b0000000000080000000700050004000c00cd02fdff0000020003500800005311e16360091b000100005611e163ac'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
